no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,dbscan_cluster,dbscan_outlier,gmm_prob_0,gmm_prob_1,gmm_prob_2
2,0,2,1,1,0,0,145,2017,8,29,3,0,0,0,94.5,0,1,224,0,5.502452915774683e-14,0.9999999999999467,0.0
2,0,0,3,0,0,0,0,2018,10,4,4,0,0,0,103.5,2,1,-1,1,5.89540432361058e-11,0.9999999999410463,0.0
2,0,1,3,0,0,0,114,2018,7,11,4,0,0,0,81.26,0,1,-1,1,5.3673992893342497e-11,0.9999999999463256,0.0
2,0,2,5,0,0,3,56,2018,5,13,4,0,0,0,132.6,0,0,-1,1,1.0,0.0,0.0
2,0,1,1,0,0,1,75,2018,3,21,4,0,0,0,78.15,0,1,-1,1,1.0,0.0,0.0
2,0,2,1,0,0,3,142,2018,6,26,4,0,0,0,109.8,0,1,-1,1,1.0,0.0,0.0
2,1,0,2,0,0,5,69,2018,1,1,4,0,0,0,171.2,3,1,-1,1,1.0,0.0,0.0
2,0,2,0,0,0,0,116,2018,2,28,3,0,0,0,70.0,0,1,-1,1,6.530773981395581e-12,0.9999999999934701,0.0
3,0,0,3,0,0,3,22,2018,11,17,4,0,0,0,154.0,1,0,-1,1,1.0,0.0,0.0
2,0,1,0,3,0,0,18,2018,9,12,4,0,0,0,89.0,0,1,365,0,2.5655392726815233e-16,1.0,0.0
2,0,0,2,0,0,0,68,2017,9,29,3,0,0,0,65.0,0,1,129,0,1.6455260157775554e-12,0.9999999999983551,0.0
2,0,0,3,3,0,0,50,2018,6,21,4,0,0,0,89.1,0,0,-1,1,6.809248739186695e-16,1.0,0.0
2,0,0,2,3,0,0,35,2018,12,28,4,0,0,0,120.0,1,1,-1,1,4.938843788761148e-16,1.0,0.0
2,0,3,5,0,0,0,224,2018,8,22,4,0,0,0,72.76,0,0,-1,1,5.124158012552287e-11,0.9999999999487592,0.0
2,0,2,3,0,0,0,21,2017,12,25,3,0,0,0,58.0,1,1,-1,1,7.348933191976833e-12,0.9999999999926494,0.0
2,0,1,5,0,0,0,142,2018,9,20,4,0,0,0,129.6,1,0,-1,1,6.688460100677552e-11,0.9999999999331166,0.0
2,0,1,1,0,0,0,134,2018,10,8,4,0,0,0,118.8,0,0,-1,1,4.2611777994814444e-11,0.9999999999573888,0.0
1,0,1,3,0,0,0,81,2018,9,5,3,0,0,0,85.0,0,1,-1,1,1.530127405636281e-11,0.9999999999846985,0.0
2,0,1,2,0,0,0,73,2017,11,27,4,0,0,0,79.2,2,1,-1,1,1.0984851631893711e-11,0.999999999989015,0.0
2,0,1,0,0,0,3,15,2018,8,14,4,0,0,0,175.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,0,0,0,19,2018,4,30,4,0,0,0,141.0,1,1,-1,1,1.0784547134246716e-10,0.9999999998921538,0.0
0,2,3,10,0,0,1,193,2018,7,4,4,0,0,0,81.82,2,0,-1,1,1.0,0.0,0.0
2,0,1,2,0,0,0,198,2018,9,9,3,0,0,0,90.0,0,0,487,0,3.340407454178363e-12,0.9999999999966604,0.0
2,0,2,2,0,0,3,26,2018,11,11,4,0,0,0,108.58,1,1,-1,1,1.0,0.0,0.0
2,0,1,2,1,0,0,161,2018,3,25,3,0,0,0,130.0,0,0,414,0,4.765210224290647e-13,0.9999999999995239,0.0
2,0,0,1,0,0,0,55,2018,11,23,4,0,0,0,74.88,0,1,-1,1,6.50390958652667e-11,0.9999999999349605,0.0
2,0,1,2,0,0,3,83,2018,3,25,4,0,0,0,105.3,0,0,-1,1,1.0,0.0,0.0
2,0,2,5,1,0,3,57,2018,4,17,4,0,0,0,143.29,0,0,-1,1,1.0,0.0,0.0
1,0,0,2,0,0,0,188,2018,6,15,3,0,0,0,130.0,0,0,388,0,1.5743502535792178e-13,0.9999999999998437,0.0
2,0,1,0,0,0,0,181,2017,8,17,4,0,0,0,76.5,2,1,-1,1,1.4694783771620528e-12,0.9999999999985292,0.0
2,0,2,1,3,0,0,33,2018,7,23,4,0,0,0,125.1,1,1,-1,1,9.279407300559603e-16,1.0,0.0
1,0,0,4,1,0,0,33,2017,10,21,3,0,0,0,79.11,0,1,-1,1,1.1375997239383086e-12,0.9999999999988631,0.0
2,0,0,4,0,0,0,22,2018,10,25,4,0,0,0,130.0,1,1,-1,1,6.987137400491701e-11,0.9999999999301288,0.0
2,0,2,2,0,0,0,8,2018,11,11,4,0,0,0,86.72,1,1,-1,1,1.6033111652960156e-11,0.9999999999839666,0.0
2,0,2,1,1,0,0,23,2018,1,2,3,0,0,0,109.0,0,1,175,0,5.589695284201324e-12,0.9999999999944116,0.0
2,0,1,2,0,0,0,5,2017,10,19,3,0,0,0,90.0,0,1,226,0,1.3257553078055874e-12,0.9999999999986748,0.0
2,0,1,1,0,0,3,18,2018,5,7,4,0,0,0,141.0,0,0,-1,1,1.0,0.0,0.0
2,0,0,2,3,0,0,3,2018,2,12,4,0,0,0,81.0,1,1,210,0,7.418826671756649e-16,1.0,0.0
1,0,2,2,0,0,0,64,2018,3,18,4,0,0,0,93.5,0,1,-1,1,3.7393149718194424e-11,0.9999999999626077,0.0
2,0,0,1,0,0,0,8,2018,5,25,4,0,0,0,111.35,0,0,-1,1,7.740839222942447e-11,0.9999999999225899,0.0
1,0,0,1,0,0,0,8,2018,2,19,2,0,0,0,80.0,0,1,57,0,8.482859844307772e-13,0.9999999999991509,0.0
2,0,0,2,0,0,0,33,2018,3,8,3,0,0,0,67.52,0,1,-1,1,1.6136688535241212e-11,0.9999999999838636,0.0
2,0,1,2,0,0,0,135,2017,9,14,3,0,0,0,90.0,0,1,329,0,9.376696077008133e-14,0.9999999999999076,0.0
2,0,0,2,3,0,0,18,2018,1,21,4,0,0,0,75.0,0,1,-1,1,6.218057319561349e-16,1.0,0.0
2,0,1,3,1,0,0,27,2018,4,11,4,0,0,0,142.78,0,0,-1,1,3.2534873773342236e-11,0.9999999999674642,0.0
1,0,1,2,0,0,0,48,2018,3,7,4,0,0,0,72.9,0,0,-1,1,5.3628355081157566e-11,0.9999999999463718,0.0
1,0,0,3,3,0,0,25,2018,5,10,4,0,0,0,129.0,0,1,368,0,7.677674866976753e-16,1.0,0.0
1,0,0,1,0,0,0,5,2018,9,15,4,0,0,0,159.0,1,1,-1,1,1.8296801660563014e-11,0.9999999999817035,0.0
2,0,1,0,3,0,0,72,2018,4,18,4,0,0,0,85.5,1,0,-1,1,6.634404615338566e-16,1.0,0.0
2,0,2,1,0,0,0,54,2018,7,3,4,0,0,0,117.9,0,0,-1,1,5.8096636389378466e-11,0.9999999999419025,0.0
1,0,0,2,0,0,0,188,2018,6,15,3,0,0,0,130.0,0,0,388,0,1.5743502535792178e-13,0.9999999999998437,0.0
1,0,1,2,0,0,0,3,2017,12,25,3,0,0,0,75.0,0,1,-1,1,2.6354899512510162e-12,0.9999999999973639,0.0
2,0,2,2,0,0,0,60,2018,3,20,3,0,0,0,75.0,0,0,385,0,1.3485364067005582e-11,0.9999999999865139,0.0
2,0,0,3,1,0,0,88,2018,5,3,3,0,0,0,117.0,1,1,94,0,5.4716890989709946e-12,0.9999999999945288,0.0
1,0,0,2,0,0,0,99,2018,2,19,2,0,0,0,80.5,0,1,157,0,2.2119354071944307e-13,0.9999999999997797,0.0
2,0,1,4,3,0,0,49,2018,3,2,4,0,0,0,65.75,0,1,-1,1,8.991675201060872e-16,1.0,0.0
1,0,1,0,0,0,0,3,2018,8,28,3,0,0,0,80.0,0,1,-1,1,1.2015184651815342e-11,0.9999999999879847,0.0
2,0,2,5,3,0,0,166,2018,8,5,4,0,0,0,89.25,0,0,-1,1,9.053184603382688e-16,1.0,0.0
2,0,0,1,0,0,0,8,2017,8,27,4,0,0,0,90.0,1,1,-1,1,5.0800524776583515e-12,0.9999999999949196,0.0
2,2,0,1,0,0,5,19,2017,9,16,4,0,0,0,155.0,2,1,-1,1,1.0,0.0,0.0
2,0,0,1,0,1,0,61,2017,9,15,4,0,0,0,98.25,1,1,-1,1,1.0,0.0,0.0
1,0,1,1,3,0,0,4,2018,4,16,4,0,0,0,104.0,1,1,-1,1,6.789651393671778e-16,1.0,0.0
2,0,2,2,0,0,0,38,2018,3,11,4,0,0,0,81.9,1,0,-1,1,5.215064927793035e-11,0.9999999999478497,0.0
3,0,2,2,0,0,3,5,2017,9,26,3,0,0,0,105.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,3,0,0,0,2018,1,21,4,0,0,0,79.0,0,1,-1,1,5.549702850164388e-16,1.0,0.0
2,1,1,2,0,0,0,9,2018,8,8,4,0,0,0,171.0,2,1,-1,1,1.0,0.0,0.0
2,0,0,4,0,0,0,224,2018,9,14,4,0,0,0,119.85,1,0,-1,1,1.247753771889148e-11,0.9999999999875229,0.0
2,0,0,2,0,0,0,46,2018,11,11,3,0,0,0,75.0,0,1,249,0,1.8070828756291284e-11,0.9999999999819309,0.0
1,0,0,3,0,0,0,8,2017,9,29,2,0,0,0,65.0,0,1,-1,1,2.934208921866512e-13,0.9999999999997051,0.0
2,0,0,3,3,0,0,100,2018,11,17,4,0,0,0,79.2,2,0,-1,1,1.2272550473934032e-15,1.0,0.0
2,0,1,1,3,0,0,105,2018,8,6,4,0,0,0,107.1,1,1,-1,1,6.050782921380546e-16,1.0,0.0
1,0,0,2,0,0,0,63,2018,1,19,3,0,0,0,71.0,0,1,-1,1,8.333567587889785e-12,0.9999999999916653,0.0
2,0,2,0,3,0,0,72,2018,11,13,4,0,0,0,79.2,3,1,-1,1,3.913386549964607e-15,0.9999999999999964,0.0
2,0,1,2,0,0,3,28,2018,6,13,4,0,0,0,130.8,0,0,-1,1,1.0,0.0,0.0
2,0,1,2,0,0,0,273,2018,6,24,4,0,0,0,94.5,0,0,-1,1,3.47508623252297e-12,0.9999999999965254,0.0
2,0,2,1,0,0,0,282,2017,10,10,3,0,0,0,76.67,0,1,48,0,1.8261465592365125e-15,0.9999999999999964,0.0
2,0,1,1,0,0,0,93,2018,6,20,4,0,0,0,126.9,1,1,496,0,5.5976167682083815e-11,0.9999999999440234,0.0
2,0,0,2,1,0,0,39,2017,8,14,3,0,0,0,101.5,0,1,52,0,2.3772736915155e-13,0.999999999999762,0.0
2,0,2,1,3,0,0,89,2018,4,9,4,0,0,0,79.5,1,1,-1,1,6.871441362312359e-16,1.0,0.0
2,0,0,2,1,0,0,63,2017,9,4,3,0,0,0,116.0,0,1,93,0,9.534756477711306e-14,0.9999999999999041,0.0
2,0,0,2,3,0,0,252,2018,11,15,4,0,0,0,67.5,0,0,-1,1,2.47392919404094e-16,1.0,0.0
1,0,4,15,0,0,0,92,2017,12,1,4,0,0,0,63.75,1,0,-1,1,3.714923562879873e-08,0.9999999628507659,0.0
2,0,2,2,0,0,0,247,2018,10,28,4,0,0,0,70.03,1,0,-1,1,3.397875821395491e-11,0.9999999999660218,0.0
2,1,0,3,0,0,0,130,2018,5,5,4,0,0,0,104.4,1,1,-1,1,1.0,0.0,0.0
2,0,1,3,1,0,0,61,2018,11,21,4,0,0,0,120.7,1,1,-1,1,1.550657136228964e-11,0.9999999999844924,0.0
2,0,0,1,0,0,0,26,2018,6,17,4,0,0,0,119.85,1,1,-1,1,7.150220198766325e-11,0.9999999999284981,0.0
2,0,1,1,0,0,3,0,2018,2,15,4,0,0,0,136.0,0,1,-1,1,1.0,0.0,0.0
2,0,1,1,0,0,0,26,2018,1,30,4,0,0,0,91.0,1,1,-1,1,5.568916936076284e-11,0.9999999999443112,0.0
1,0,2,2,0,0,0,162,2018,10,14,3,0,0,0,115.0,0,0,497,0,2.973284718391514e-12,0.9999999999970264,0.0
2,0,0,2,0,0,0,15,2018,9,2,4,0,0,0,138.0,2,1,-1,1,1.2801572171845242e-10,0.9999999998719851,0.0
2,0,0,2,0,0,0,1,2017,8,20,4,0,0,0,106.0,3,1,-1,1,2.4337556819096646e-11,0.9999999999756639,0.0
2,0,1,0,0,0,0,16,2018,5,29,4,0,0,0,111.0,0,0,-1,1,7.217901049533798e-11,0.9999999999278195,0.0
2,0,1,2,0,0,0,187,2018,10,10,4,0,0,0,78.41,0,0,-1,1,3.825671652340671e-11,0.9999999999617444,0.0
1,0,1,1,0,0,0,8,2018,11,14,4,0,0,0,103.0,1,1,-1,1,1.6264830863416626e-11,0.9999999999837357,0.0
2,0,2,4,0,0,0,80,2018,3,26,3,0,0,0,80.75,0,1,-1,1,1.6651761855037433e-11,0.9999999999833484,0.0
2,0,2,5,0,0,0,192,2018,5,28,4,0,0,0,66.71,0,0,-1,1,5.2480353814950424e-11,0.9999999999475193,0.0
2,0,0,1,0,0,0,99,2018,2,19,2,0,0,0,90.0,0,0,-1,1,2.2935317090275753e-13,0.9999999999997691,0.0
2,0,1,1,0,0,1,31,2018,3,14,4,0,0,0,81.9,1,1,-1,1,1.0,0.0,0.0
1,0,2,2,0,0,0,39,2018,11,27,2,0,0,0,65.0,0,1,-1,1,6.353026037929579e-12,0.9999999999936477,0.0
2,0,0,2,0,0,0,112,2018,6,2,3,0,0,0,100.0,0,1,167,0,6.372851356583487e-12,0.9999999999936264,0.0
2,0,2,5,0,0,0,190,2017,9,8,4,0,0,0,93.5,1,1,-1,1,3.0936834350649035e-13,0.9999999999996909,0.0
3,0,0,1,0,0,3,102,2018,5,21,4,0,0,0,159.3,1,1,-1,1,1.0,0.0,0.0
1,0,0,3,0,0,0,28,2018,9,27,4,0,0,0,115.23,2,1,-1,1,6.430279868817265e-11,0.9999999999356959,0.0
3,0,1,2,0,0,3,198,2018,8,22,4,0,0,0,137.7,0,0,-1,1,1.0,0.0,0.0
1,0,1,0,0,0,0,4,2018,5,23,2,1,0,1,65.0,0,1,-1,1,0.0,0.0,1.0
1,0,0,3,0,0,0,71,2018,6,14,3,0,0,0,120.0,0,1,68,0,3.926249994706257e-12,0.9999999999960743,0.0
2,0,0,1,0,0,0,64,2017,10,16,3,0,0,0,85.0,0,1,-1,1,7.317004744130415e-13,0.9999999999992681,0.0
2,1,2,4,0,0,0,37,2018,3,23,4,0,0,0,127.8,2,0,-1,1,1.0,0.0,0.0
2,0,0,3,3,0,0,43,2018,4,28,4,0,0,0,109.2,2,1,-1,1,2.902077920891516e-15,0.9999999999999964,0.0
1,0,0,3,0,0,0,104,2017,12,3,3,0,0,0,65.0,0,1,-1,1,1.1378909931483684e-12,0.9999999999988631,0.0
2,0,0,2,0,0,1,181,2017,8,6,4,0,0,0,76.5,2,0,-1,1,1.0,0.0,0.0
2,0,1,3,0,0,0,52,2018,3,28,4,0,0,0,85.85,0,0,-1,1,6.174267399752675e-11,0.9999999999382574,0.0
1,0,0,1,0,0,0,15,2018,2,19,2,0,0,0,81.0,0,1,57,0,7.577803902156147e-13,0.9999999999992433,0.0
2,0,0,3,0,0,0,279,2018,10,12,3,0,0,0,110.0,0,0,477,0,2.4345570271566974e-13,0.9999999999997549,0.0
2,0,1,2,0,0,1,137,2018,6,10,3,0,0,0,80.75,0,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,3,49,2018,5,6,4,0,0,0,124.3,0,1,-1,1,1.0,0.0,0.0
1,0,0,3,0,0,0,5,2018,3,8,2,0,0,0,66.0,0,1,-1,1,2.7834425560399755e-12,0.9999999999972182,0.0
1,0,1,0,0,0,0,13,2018,11,21,3,0,0,0,75.0,0,1,-1,1,1.2786455770135648e-11,0.9999999999872138,0.0
2,2,1,3,0,0,5,176,2018,10,24,4,0,0,0,169.88,3,1,-1,1,1.0,0.0,0.0
1,0,0,4,0,0,0,5,2017,12,1,2,0,0,0,65.0,0,1,-1,1,6.694991137222734e-13,0.9999999999993321,0.0
2,0,1,1,0,0,0,29,2018,12,17,4,0,0,0,104.0,0,0,-1,1,3.925709171006138e-11,0.9999999999607425,0.0
2,0,0,2,1,0,0,35,2018,3,16,4,0,0,0,116.1,0,0,-1,1,1.8972792286888418e-11,0.9999999999810285,0.0
2,1,0,4,0,0,1,11,2017,9,8,3,0,0,0,78.94,2,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,0,153,2018,7,22,4,0,0,0,109.8,1,0,-1,1,3.9672222651354934e-11,0.9999999999603268,0.0
2,0,2,2,0,0,0,41,2018,9,18,3,0,0,0,80.75,0,1,-1,1,1.7285615010387545e-11,0.999999999982716,0.0
2,0,2,5,0,0,0,3,2017,8,17,2,0,0,0,79.2,0,0,-1,1,3.881310573134845e-13,0.9999999999996128,0.0
2,0,2,5,0,0,0,31,2018,8,23,4,0,0,0,129.6,1,1,-1,1,1.161604977785325e-10,0.9999999998838405,0.0
1,0,0,1,0,0,0,17,2018,12,9,2,1,0,1,65.0,0,1,-1,1,0.0,0.0,1.0
2,0,0,3,3,0,0,8,2018,11,3,4,0,0,0,116.67,1,1,-1,1,3.7874526927794216e-16,1.0,0.0
2,0,0,2,0,0,0,86,2017,9,9,2,0,0,0,100.0,0,1,77,0,7.23422505588855e-15,0.9999999999999929,0.0
2,0,1,2,0,0,0,49,2018,1,22,3,0,0,0,60.0,0,1,-1,1,1.2296939470354926e-11,0.9999999999877041,0.0
2,0,0,2,3,0,0,181,2018,11,18,4,0,0,0,71.1,0,0,-1,1,4.921502601265444e-16,1.0,0.0
2,0,0,3,0,0,0,279,2018,10,12,3,0,0,0,110.0,0,0,477,0,2.4345570271566974e-13,0.9999999999997549,0.0
2,0,0,4,0,0,0,15,2017,9,9,4,0,0,0,116.75,1,1,-1,1,1.96144466932015e-12,0.9999999999980389,0.0
2,0,0,4,3,0,0,160,2018,7,6,4,0,0,0,97.75,0,0,-1,1,4.764713921698986e-16,1.0,0.0
2,0,2,3,0,0,0,136,2018,8,11,4,0,0,0,83.12,1,1,-1,1,5.0391664965875334e-11,0.9999999999496083,0.0
1,0,0,2,0,0,0,58,2018,1,27,3,0,0,0,81.0,0,1,372,0,6.4409913889329385e-12,0.9999999999935589,0.0
2,0,1,2,3,0,0,128,2018,6,27,4,0,0,0,85.5,0,0,-1,1,5.856482245691034e-16,1.0,0.0
2,0,2,1,0,0,0,39,2017,11,7,3,0,0,0,63.0,0,1,-1,1,3.134620381922314e-12,0.9999999999968665,0.0
3,0,1,2,0,0,3,165,2018,10,7,4,0,0,0,151.2,0,0,-1,1,1.0,0.0,0.0
2,0,2,7,0,0,0,88,2018,3,17,4,0,0,0,85.51,1,1,-1,1,1.588414158291788e-10,0.9999999998411582,0.0
1,0,1,0,0,0,0,11,2018,9,5,2,0,0,0,112.88,0,1,-1,1,9.285110724064908e-13,0.9999999999990727,0.0
2,0,1,2,1,0,0,4,2018,2,8,3,0,0,0,117.0,0,1,-1,1,5.9236634211568605e-12,0.9999999999940776,0.0
2,0,2,2,0,0,0,89,2018,7,17,3,0,0,0,72.25,3,1,-1,1,1.1535964090297467e-09,0.9999999988464037,0.0
1,0,0,1,3,1,0,17,2017,11,6,4,0,0,0,104.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,0,30,2018,6,2,3,0,0,0,140.0,0,1,245,0,1.3735362552827619e-11,0.9999999999862652,0.0
2,0,0,2,0,0,0,34,2017,10,16,4,0,0,0,104.85,0,1,-1,1,3.2997308629525722e-12,0.9999999999966995,0.0
2,1,2,3,0,0,0,86,2018,10,22,4,0,0,0,123.84,1,0,-1,1,1.0,0.0,0.0
2,0,0,3,1,0,0,203,2018,12,8,4,0,0,0,112.5,0,1,-1,1,6.581786565890647e-12,0.9999999999934168,0.0
3,0,0,2,0,0,0,16,2017,10,1,4,0,0,0,142.0,4,1,-1,1,1.1407340437324662e-09,0.9999999988592663,0.0
2,0,0,4,0,0,0,47,2018,8,30,4,0,0,0,109.8,2,1,-1,1,1.375275464960793e-10,0.9999999998624709,0.0
2,1,1,2,0,0,3,31,2017,10,26,3,0,0,0,90.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,4,0,0,0,137,2018,8,23,4,0,0,0,100.8,0,0,-1,1,6.472255635086725e-11,0.9999999999352767,0.0
2,0,0,4,0,0,3,85,2018,10,25,4,0,0,0,104.4,2,1,-1,1,1.0,0.0,0.0
2,0,0,1,0,0,0,3,2017,11,27,4,0,0,0,87.0,1,0,-1,1,7.125308261703771e-12,0.9999999999928733,0.0
2,0,1,1,0,0,0,38,2018,6,18,3,0,0,0,85.5,0,1,-1,1,1.4789322865949768e-11,0.99999999998521,0.0
2,0,0,2,0,0,0,44,2018,11,3,4,0,0,0,77.76,0,1,-1,1,4.6006826933235e-11,0.9999999999539924,0.0
1,0,0,3,0,0,0,151,2018,1,19,3,0,0,0,71.0,0,1,321,0,2.224017296740833e-12,0.999999999997776,0.0
2,0,1,0,0,0,0,133,2018,10,3,4,0,0,0,118.8,2,1,-1,1,9.945811720268376e-11,0.9999999999005418,0.0
2,0,2,5,0,0,0,8,2018,3,10,3,0,0,0,72.0,0,1,-1,1,3.1291559634611626e-11,0.9999999999687077,0.0
2,0,0,2,0,0,3,21,2018,4,13,4,0,0,0,144.0,1,1,-1,1,1.0,0.0,0.0
2,0,0,3,1,0,0,119,2018,7,13,3,0,0,0,97.75,1,0,-1,1,5.516211533197891e-12,0.9999999999944826,0.0
1,0,0,3,0,0,0,14,2017,9,15,4,0,0,0,114.0,1,1,155,0,8.694958135208041e-13,0.9999999999991296,0.0
1,0,0,3,0,0,0,145,2018,6,2,4,0,0,0,95.4,0,0,-1,1,1.7921046538891264e-11,0.9999999999820801,0.0
1,0,2,2,0,0,0,116,2018,2,28,3,0,0,0,61.0,0,0,482,0,1.1738248042265115e-11,0.9999999999882618,0.0
2,0,2,2,1,1,3,191,2018,8,14,4,0,0,0,153.5,1,0,-1,1,1.0,0.0,0.0
2,0,2,2,0,0,0,229,2018,10,22,4,0,0,0,89.25,0,0,195,0,2.4210812492547232e-11,0.9999999999757883,0.0
2,0,1,3,0,0,3,38,2017,11,5,3,0,0,0,60.0,0,1,-1,1,1.0,0.0,0.0
1,0,0,2,0,0,0,1,2017,10,2,3,0,0,0,100.0,0,1,374,0,3.522088156636301e-13,0.9999999999996483,0.0
1,0,1,2,0,0,0,90,2018,4,18,4,0,0,0,90.9,1,0,-1,1,3.767363319855195e-11,0.999999999962327,0.0
2,0,0,1,0,0,0,20,2018,6,29,2,0,0,0,75.0,0,1,-1,1,1.9737415817788272e-12,0.9999999999980247,0.0
2,0,0,4,0,0,3,95,2018,4,5,4,0,0,0,93.08,1,1,-1,1,1.0,0.0,0.0
1,0,1,2,0,0,3,4,2018,10,10,0,0,0,0,110.0,0,1,-1,1,1.0,0.0,0.0
2,0,0,1,1,0,0,55,2018,4,6,3,0,0,0,104.0,0,1,12,0,3.587933642330577e-12,0.9999999999964118,0.0
2,0,1,2,0,0,0,23,2018,1,1,3,0,0,0,60.0,0,1,-1,1,1.8418020495622344e-11,0.9999999999815827,0.0
2,1,0,1,0,0,0,118,2018,8,11,4,0,0,0,114.3,1,1,-1,1,1.0,0.0,0.0
2,0,0,1,0,0,3,54,2018,6,4,4,0,0,0,140.4,0,0,-1,1,1.0,0.0,0.0
2,0,2,2,0,0,0,12,2018,10,2,3,0,0,0,85.0,0,1,-1,1,1.6252961349437295e-11,0.9999999999837463,0.0
2,0,0,3,0,0,0,97,2017,8,19,4,0,0,0,76.5,0,1,-1,1,2.9364208285673273e-12,0.9999999999970619,0.0
2,0,2,1,3,0,0,140,2018,6,4,4,0,0,0,109.2,2,1,-1,1,1.7190384973093062e-15,1.0,0.0
2,0,1,2,0,0,0,273,2018,5,13,3,0,0,0,95.0,0,0,445,0,1.059294861488026e-13,0.9999999999998934,0.0
2,2,1,0,0,0,5,162,2018,7,4,4,0,0,0,168.3,0,0,-1,1,1.0,0.0,0.0
2,0,0,3,0,0,3,10,2018,7,7,4,0,0,0,161.33,1,1,-1,1,1.0,0.0,0.0
2,0,2,1,0,0,0,125,2018,7,9,4,0,0,0,114.3,1,1,-1,1,3.970060693519068e-11,0.9999999999602984,0.0
2,0,0,1,0,0,0,22,2018,8,12,2,0,0,0,84.0,0,1,-1,1,2.227139225497621e-12,0.9999999999977724,0.0
1,0,1,2,0,0,0,2,2018,11,21,4,0,0,0,100.67,1,1,-1,1,1.6922912429380534e-11,0.9999999999830784,0.0
2,0,2,2,0,0,0,1,2017,10,23,4,0,0,0,96.3,1,1,-1,1,3.7094450016911114e-12,0.999999999996291,0.0
2,0,0,2,0,0,0,5,2018,5,24,2,0,0,0,110.0,1,1,101,0,3.654778536351481e-12,0.9999999999963443,0.0
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,109.0,0,1,63,0,1.2248602284433104e-13,0.9999999999998792,0.0
2,0,2,1,0,0,0,41,2018,3,13,2,0,0,0,85.67,0,1,135,0,1.566415695010056e-12,0.9999999999984333,0.0
2,1,0,1,0,0,0,30,2018,8,5,4,0,0,0,161.1,2,1,-1,1,1.0,0.0,0.0
3,0,0,3,0,0,3,51,2018,3,30,4,0,0,0,123.3,0,1,-1,1,1.0,0.0,0.0
2,0,1,2,0,0,3,21,2018,4,11,4,0,0,0,136.0,1,1,-1,1,1.0,0.0,0.0
1,0,0,1,0,0,0,0,2018,2,10,4,0,0,0,85.0,0,0,498,0,3.9689874610022327e-11,0.9999999999603091,0.0
2,0,0,2,0,0,0,44,2018,11,22,4,0,0,0,98.8,2,1,-1,1,8.57885631516985e-11,0.9999999999142126,0.0
2,0,0,3,0,0,0,10,2018,4,7,4,0,0,0,111.0,0,0,-1,1,7.002971617574401e-11,0.9999999999299689,0.0
2,0,2,5,0,0,0,127,2018,8,8,3,0,0,0,86.36,0,1,-1,1,2.151137617604721e-11,0.9999999999784883,0.0
2,0,0,3,0,0,3,143,2018,7,19,4,0,0,0,121.8,0,0,-1,1,1.0,0.0,0.0
3,0,0,2,0,0,3,52,2018,7,12,4,0,0,0,137.7,1,1,-1,1,1.0,0.0,0.0
1,0,2,3,0,0,0,115,2018,2,27,3,0,0,0,76.0,0,1,301,0,9.061521310711992e-12,0.999999999990937,0.0
2,0,1,2,0,0,0,237,2017,9,14,4,0,0,0,89.25,0,0,-1,1,4.854196689502923e-14,0.9999999999999503,0.0
2,0,2,1,0,0,3,47,2018,2,20,4,0,0,0,89.3,1,1,-1,1,1.0,0.0,0.0
2,0,2,2,0,0,0,226,2018,10,29,3,0,0,0,70.0,1,1,263,0,1.3345808564474669e-11,0.9999999999866525,0.0
2,0,2,1,0,0,3,59,2018,6,26,4,0,0,0,119.4,1,1,-1,1,1.0,0.0,0.0
1,0,2,4,0,0,0,69,2018,6,12,3,0,0,0,120.0,0,0,402,0,1.2215981116930435e-11,0.9999999999877858,0.0
2,0,1,3,1,0,0,200,2018,9,19,4,0,0,0,152.15,2,0,-1,1,1.3920537949949548e-11,0.9999999999860805,0.0
2,1,1,0,0,0,0,36,2018,9,5,4,0,0,0,126.0,0,0,-1,1,1.0,0.0,0.0
2,0,0,2,0,0,0,9,2017,11,18,2,0,0,0,75.0,0,1,-1,1,2.5430318399540736e-13,0.9999999999997442,0.0
2,0,0,2,0,0,0,19,2018,9,22,4,0,0,0,169.0,2,1,-1,1,2.5209798166176877e-10,0.999999999747903,0.0
1,0,2,3,0,0,0,65,2017,9,25,4,0,0,0,118.14,1,1,-1,1,7.44189446513925e-13,0.9999999999992575,0.0
1,0,0,1,3,0,0,3,2018,5,13,4,0,0,0,95.48,0,0,-1,1,5.07911426753364e-16,1.0,0.0
2,0,0,3,3,0,0,24,2018,10,20,4,0,0,0,119.0,2,1,-1,1,1.2220376503142538e-15,1.0,0.0
2,0,1,2,0,0,0,159,2018,9,19,3,0,0,0,144.0,0,0,499,0,3.7248098942829805e-12,0.9999999999962768,0.0
